Architecture,Total_Agents,Cores_Used,Migration_Interval,Run_ID,Final_Fitness,Execution_Time_Sec
Classic Serial,30,1,N/A,0,33.82918518645232,0.2798501999996006
Classic Serial,30,1,N/A,1,33.828922945392435,0.2619363000003432
Classic Serial,30,1,N/A,2,31.838820030057946,0.26356810000015685
Classic Serial,30,1,N/A,3,28.89145716316949,0.25993729999936477
Classic Serial,30,1,N/A,4,24.874115768660488,0.26083029999972496
Classic Serial,30,1,N/A,5,38.80356810961382,0.27342959999987215
Classic Serial,30,1,N/A,6,14.926079702342122,0.2723753000000215
Classic Serial,30,1,N/A,7,45.77302816840586,0.25871490000008635
Classic Serial,30,1,N/A,8,31.839454452913145,0.27112529999976687
Classic Serial,30,1,N/A,9,35.81858737348642,0.2714966000003187
Classic Serial,60,1,N/A,0,32.83930000070117,0.5165141999996194
Classic Serial,60,1,N/A,1,20.89588001218752,0.5255915999996432
Classic Serial,60,1,N/A,2,23.880161740251282,0.5549518999996508
Classic Serial,60,1,N/A,3,25.924229291071043,0.5259795000001759
Classic Serial,60,1,N/A,4,16.9780288369422,0.5170875999992859
Classic Serial,60,1,N/A,5,34.82618861547155,0.5334579000000303
Classic Serial,60,1,N/A,6,22.8841809212,0.5385927999996056
Classic Serial,60,1,N/A,7,19.90014748880239,0.5201489999999467
Classic Serial,60,1,N/A,8,17.909632894238115,0.5249331000004531
Classic Serial,60,1,N/A,9,22.88404961757729,0.5178821999998036
Classic Serial,100,1,N/A,0,20.894164549087748,0.8513479000002917
Classic Serial,100,1,N/A,1,30.027581668836916,0.8513955999997052
Classic Serial,100,1,N/A,2,15.919343185103003,0.8604161000002932
Classic Serial,100,1,N/A,3,27.932634397059275,0.852066499999637
Classic Serial,100,1,N/A,4,19.899190545954866,0.8602636000005077
Classic Serial,100,1,N/A,5,21.889068714818535,0.8546120999999403
Classic Serial,100,1,N/A,6,17.909258276619255,0.8649715000001379
Classic Serial,100,1,N/A,7,24.88089029181353,0.8626203000003443
Classic Serial,100,1,N/A,8,31.83866015634723,0.8668290999994497
Classic Serial,100,1,N/A,9,23.879237301898854,0.8680470999997851
Classic Serial,120,1,N/A,0,31.846894927821012,1.0309855999994397
Classic Serial,120,1,N/A,1,37.808390523766064,1.0513018999999986
Classic Serial,120,1,N/A,2,36.81349260363103,1.0242934999996578
Classic Serial,120,1,N/A,3,16.91429876741455,1.0426349000008486
Classic Serial,120,1,N/A,4,31.838673847938765,1.0481851000004099
Classic Serial,120,1,N/A,5,21.889080319423584,1.0360774000000674
Classic Serial,120,1,N/A,6,21.889149706810173,1.0369426999995994
Classic Serial,120,1,N/A,7,13.929421989128144,1.0273698000000877
Classic Serial,120,1,N/A,8,16.914340378074712,1.0404091000000335
Classic Serial,120,1,N/A,9,18.904210866926206,1.0365269000003536
Island Parallel,120,2,10,0,35.23874183142175,1.9775816999999734
Island Parallel,120,2,10,1,30.622165202962265,1.9352249000003212
Island Parallel,120,2,10,2,17.596636423253642,1.8959565999994084
Island Parallel,120,2,10,3,38.345907311026764,1.956705100000363
Island Parallel,120,2,10,4,31.81234527900557,2.0475083000001177
Island Parallel,120,2,10,5,33.36502672849264,2.1091341999999713
Island Parallel,120,2,10,6,32.306354929601696,2.4434872000001633
Island Parallel,120,2,10,7,37.35502061642961,2.4583762000002025
Island Parallel,120,2,10,8,33.444895018594394,2.5576607000002696
Island Parallel,120,2,10,9,27.332921870206974,2.1778245999994397
Island Parallel,120,2,25,0,41.75264058900669,2.2622511999998096
Island Parallel,120,2,25,1,41.847144734772996,2.244403300000158
Island Parallel,120,2,25,2,33.04162763683436,1.9961989000003086
Island Parallel,120,2,25,3,35.749139194378415,1.9691352999998344
Island Parallel,120,2,25,4,36.16828105401345,2.0339970999993966
Island Parallel,120,2,25,5,26.572077236459847,2.00207810000029
Island Parallel,120,2,25,6,34.988227325424646,2.0272273999999015
Island Parallel,120,2,25,7,45.75428463915537,1.9987257999991925
Island Parallel,120,2,25,8,26.67357515634947,2.3502150000003894
Island Parallel,120,2,25,9,36.56694716618503,2.2037780000000566
Island Parallel,120,2,100,0,46.00413530207837,2.349173699999483
Island Parallel,120,2,100,1,30.82964035185873,2.2364242000003287
Island Parallel,120,2,100,2,37.72882233600015,2.2649005000002944
Island Parallel,120,2,100,3,34.08659626460354,2.214142400000128
Island Parallel,120,2,100,4,27.279946026961852,2.0178580000001602
Island Parallel,120,2,100,5,30.645752202460386,1.990111899999647
Island Parallel,120,2,100,6,41.872207438254065,2.2502034999997704
Island Parallel,120,2,100,7,36.93991873748939,2.1761601999996856
Island Parallel,120,2,100,8,36.532973598334706,2.2725862999996025
Island Parallel,120,2,100,9,38.515545147744916,2.2174894000008862
Island Parallel,120,4,10,0,21.255946848849334,2.2369417999998404
Island Parallel,120,4,10,1,37.536041331627075,2.0465096999996604
Island Parallel,120,4,10,2,18.124650381161388,2.258065799999713
Island Parallel,120,4,10,3,36.91274807167761,2.14035849999982
Island Parallel,120,4,10,4,21.191656189517914,2.4086816000008184
Island Parallel,120,4,10,5,45.914700388279215,2.580092600000171
Island Parallel,120,4,10,6,47.00644818035977,2.3398041000000376
Island Parallel,120,4,10,7,40.859914658278456,1.868421500000295
Island Parallel,120,4,10,8,31.978852772471697,2.397550499999852
Island Parallel,120,4,10,9,36.263596602275356,2.3253287999996246
Island Parallel,120,4,25,0,37.507782996344616,2.0297127000003456
Island Parallel,120,4,25,1,33.146231379814225,2.02896630000032
Island Parallel,120,4,25,2,28.209569829556102,1.9775369999997565
Island Parallel,120,4,25,3,29.37922645711575,2.001636800000597
Island Parallel,120,4,25,4,29.950444060824736,2.0836137999995117
Island Parallel,120,4,25,5,33.65603611381073,2.0166651999998066
Island Parallel,120,4,25,6,24.22173457083656,1.939188300000751
Island Parallel,120,4,25,7,41.40681894236718,2.032191100000091
Island Parallel,120,4,25,8,31.535060251721234,2.2228835000005347
Island Parallel,120,4,25,9,37.26492528464124,2.0234792999999627
Island Parallel,120,4,100,0,26.373798274709117,1.9240440000003218
Island Parallel,120,4,100,1,44.717999310433896,1.9857707999999548
Island Parallel,120,4,100,2,55.13707348223653,1.9171022999998968
Island Parallel,120,4,100,3,34.988307395756834,1.8365071999996871
Island Parallel,120,4,100,4,29.520272589326396,1.9055561000004673
Island Parallel,120,4,100,5,34.3068068960244,1.8513327999999092
Island Parallel,120,4,100,6,34.95482124685262,1.9360188999999082
Island Parallel,120,4,100,7,55.36974023334639,1.9401017999998658
Island Parallel,120,4,100,8,42.13076504971016,1.940489399999933
Island Parallel,120,4,100,9,39.74763042520459,1.8661074000001463
Island Parallel,120,8,10,0,29.86727201967227,1.9970406000002185
Island Parallel,120,8,10,1,39.11651735744937,2.0187763000003542
Island Parallel,120,8,10,2,29.395203343186267,2.3083879000005254
Island Parallel,120,8,10,3,37.72275753987594,2.2539176999998745
Island Parallel,120,8,10,4,46.96193702896218,2.211218800000097
Island Parallel,120,8,10,5,27.80205572558728,2.38622740000028
Island Parallel,120,8,10,6,45.348748738267005,2.474838699999964
Island Parallel,120,8,10,7,32.02134284319092,2.520446599999559
Island Parallel,120,8,10,8,31.070704209633817,2.176098099999763
Island Parallel,120,8,10,9,35.69540641655618,2.245909400000528
Island Parallel,120,8,25,0,22.93849816854828,2.0482654000006733
Island Parallel,120,8,25,1,34.88617162113201,2.295956599999954
Island Parallel,120,8,25,2,31.289980725258857,2.5362350999994305
Island Parallel,120,8,25,3,35.94723678789791,2.0846787000000404
Island Parallel,120,8,25,4,33.40928982131928,2.4745339000000968
Island Parallel,120,8,25,5,32.64954286335188,2.047277299999223
Island Parallel,120,8,25,6,39.11684226869764,2.1857526000003418
Island Parallel,120,8,25,7,23.33340623422842,2.1588854999999967
Island Parallel,120,8,25,8,48.996239450659886,2.2588344000005236
Island Parallel,120,8,25,9,31.989631063386867,2.2765442999998413
